Date,High,Low,Open,Close,Volume,Adj Close
01-04-2019,272.7000122,256,256,270.25,3464639,265.2957764
02-04-2019,274.3999939,265.2999878,273,271.9500122,2069299,266.9646301
03-04-2019,277.6499939,261.5,273.8999939,263.0499878,1720088,258.2277527
04-04-2019,264.8999939,259.3999939,264.8999939,261.3999939,1038706,256.6080322
05-04-2019,269.7000122,264,264.7999878,267.5,1210074,262.5962219
08-04-2019,271.8999939,260,269.7000122,263.3999939,1354459,258.5713501
09-04-2019,268.7999878,258.8500061,267,262.1000061,2159546,257.2951965
10-04-2019,261.9500122,256,261,257.25,1154661,252.5341034
11-04-2019,261.75,257.1000061,258.25,257.9500122,828600,253.221283
12-04-2019,261.6499939,257,259,258.5499878,884837,253.8102417
15-04-2019,260.7000122,256.5,259.7000122,257.4500122,671562,252.7304382
16-04-2019,259.2000122,254.5500031,258.6499939,255.4499969,601256,250.7670898
18-04-2019,256.7000122,248,256.7000122,248.8999939,556887,244.3371582
22-04-2019,247.5500031,239,247.5,239.8999939,559783,235.5021515
23-04-2019,245.6999969,239,239,244.5,517305,240.0178223
24-04-2019,246.6999969,243.25,245.3000031,244.1499939,414152,239.6742554
25-04-2019,250.4499969,240.6499939,244.25,242.1999969,539057,237.7599945
26-04-2019,245.8500061,241.8000031,243.4499969,244.1499939,330758,239.6742554
30-04-2019,249.3000031,242,242.0500031,245.75,1191752,241.2449188
02-05-2019,245,238.8500061,243.0500031,240.1000061,450765,235.6984863
03-05-2019,243.5,239.6499939,241.3999939,241.75,308916,237.3182526
06-05-2019,242.25,237.5500031,240,239.25,285106,234.8640594
07-05-2019,243,233.1499939,240,234.3500061,595373,230.0539093
08-05-2019,236.9499969,232,233.3500061,233.0500031,544340,228.7777405
09-05-2019,236.9499969,228.6499939,232.5,229.5,754375,225.2928009
10-05-2019,233.6000061,201.1499939,230.4499969,213.9499969,2633852,210.0278625
13-05-2019,207.9499969,183.5,207.9499969,186.1000061,10565870,182.6884308
14-05-2019,210.8999939,184.1000061,184.1000061,201.8500061,10804537,198.1496887
15-05-2019,194.8999939,185.3000031,192,187.1000061,6833736,183.6700897
16-05-2019,192.3999939,186,186.6499939,187.6499939,1850380,184.2099915
17-05-2019,190.1999969,156,189.3999939,165.4499969,7990669,162.4169769
20-05-2019,186.5,167.6499939,174.8999939,179.4499969,5149326,176.1603241
21-05-2019,187.4499969,177,178,184.1999969,3904009,180.8232422
22-05-2019,184.75,175,182.8000031,176.8500061,1669573,173.6080017
23-05-2019,188.75,172,178.8999939,176.25,1651654,173.0189819
24-05-2019,201.5,176,177.6999969,198.9499969,4594473,195.3028412
27-05-2019,205.9499969,196.3999939,198.9499969,202.8500061,1784280,199.1313477
28-05-2019,207,196.5,203,200.8000031,1924184,197.1189423
29-05-2019,210.8500061,200.0500031,201,206.5500031,2371316,202.7635345
30-05-2019,210.4499969,204,207,207.3000031,756979,203.4998016
31-05-2019,208.4499969,199.8500061,208,201.5500031,702614,197.8551941
03-06-2019,209.3000031,196.3999939,201,207.6000061,1204595,203.794281
04-06-2019,213.5,203.1499939,203.1499939,207.6999969,1110744,203.8924408
06-06-2019,207.8500061,199,207.6999969,200.75,661635,197.0698547
07-06-2019,202.8999939,185.5500031,201,194.6499939,1564597,191.081665
10-06-2019,197.3500061,185.6000061,197,188.1499939,894291,184.7008209
11-06-2019,191,185,190,187.1999969,1201834,183.7682495
12-06-2019,198.0500031,190.25,196.8000031,193.75,2693842,190.1981964
13-06-2019,193.4499969,186.25,193.4499969,187.75,857493,184.3081665
14-06-2019,189.5,185.25,187.6499939,186.8500061,558424,183.4246674
17-06-2019,190.3999939,185.25,187,188.8000031,864228,185.338913
18-06-2019,191.3999939,186.6999969,189,190.3500061,765816,186.8605194
19-06-2019,191.8000031,177.5,191,180,874652,176.7002411
20-06-2019,181,175.1000061,180,177.1000061,801502,173.8534088
21-06-2019,184.1999969,177,177.5,179.8500061,842116,176.553009
24-06-2019,181.1499939,173.8500061,180,174.8999939,408419,171.6937408
25-06-2019,175.6999969,172,174.9499969,173.3500061,362223,170.1721649
26-06-2019,179.25,174.1000061,177.75,175.3000031,666333,172.0864105
27-06-2019,177.5,173,176.0500031,174.1999969,453375,171.0065613
28-06-2019,176.25,170.1000061,174.1999969,171,410785,167.8652344
01-07-2019,175.8999939,172.0500031,173.3500061,173.6000061,444037,170.417572
02-07-2019,179.8999939,170.6000061,174,177.4499969,695962,174.196991
03-07-2019,179.1999969,175,179.1499939,175.75,637901,172.5281372
04-07-2019,176.8999939,173.0500031,175.9499969,174,331247,170.8102417
05-07-2019,175.1000061,170.1999969,175,170.9499969,426936,167.8161469
08-07-2019,171.8999939,162.5,170.0500031,168.6999969,862627,165.6073914
09-07-2019,167.9499969,164,165,165.9499969,998745,162.9078064
10-07-2019,168.8500061,164,167,166.5500031,473371,163.4968109
11-07-2019,168.8999939,164.5500031,168,166.9499969,433259,163.8894653
12-07-2019,167.5500031,164.3500061,166.25,165.1499939,346835,162.1224823
15-07-2019,164.4499969,161,163,161.75,721189,159.4122162
16-07-2019,162.5,160,160.1999969,160.8000031,411696,158.4759521
17-07-2019,163.3000031,160,161,161.0500031,451092,158.7223358
18-07-2019,161.5,159,160.8500061,159.3000031,377692,156.9976349
19-07-2019,160.6999969,155,160.6999969,156.4499969,1548661,154.1888123
22-07-2019,156.8999939,152,156.8999939,154.5500031,707283,152.3162689
23-07-2019,156,151.1999969,155.1999969,152.8000031,644981,150.5915833
24-07-2019,153.5,147.3500061,152.5,149.6499939,840959,147.4870911
25-07-2019,150,145.75,148.3000031,146.3000031,573903,144.1855164
26-07-2019,151.3500061,144,146.3000031,146.9499969,670428,144.8261261
29-07-2019,149.5500031,144,147.5500031,145.0500031,593757,142.9535828
30-07-2019,149.6499939,143,143.5500031,143.75,947012,141.6723633
