Date,Weekly Returns
05-04-2019,
12-04-2019,-3.345798956
19-04-2019,-3.732351326
26-04-2019,-1.908396993
03-05-2019,-0.982999777
10-05-2019,-11.4994842
17-05-2019,-22.66884818
24-05-2019,20.24780938
31-05-2019,1.306864108
07-06-2019,-3.423472613
14-06-2019,-4.007186251
21-06-2019,-3.746320456
28-06-2019,-4.920770533
05-07-2019,-0.029241551
12-07-2019,-3.392806759
19-07-2019,-5.267936585
26-07-2019,-6.072227667
02-08-2019,0.204153153
09-08-2019,8.387100919
16-08-2019,-1.347123479
23-08-2019,-6.001903545
30-08-2019,19.25675676
06-09-2019,-0.113312719
13-09-2019,3.630172312
20-09-2019,3.010399612
27-09-2019,-3.480341742
04-10-2019,-16.04734097
11-10-2019,11.54098761
18-10-2019,10.14109311
25-10-2019,3.069121864
01-11-2019,6.861729457
08-11-2019,-5.379212879
15-11-2019,-2.919332624
22-11-2019,4.062251028
29-11-2019,9.657796224
06-12-2019,-1.109574259
13-12-2019,-0.701262292
20-12-2019,-1.177024516
27-12-2019,-2.929963828
03-01-2020,-4.834358824
10-01-2020,4.564211646
17-01-2020,-1.085078643
24-01-2020,-2.667666927
31-01-2020,-7.812500122
07-02-2020,-6.307302605
14-02-2020,-4.359434067
21-02-2020,-3.069765549
28-02-2020,-13.97953018
06-03-2020,-11.37969191
13-03-2020,-23.20604379
20-03-2020,-31.53005298
27-03-2020,-5.347170323
03-04-2020,10.20235972
